id,image_src,shape,lens_width,gender,color,face_shape,skin,width,target
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL471001_1.jpg?v=1658797459,round,53,female,black,square,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927303_1_4f62b72a-d63f-43e0-a8ce-d19f36ac4e67.jpg?v=1603961490,round,51,male,gold,square,light,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027316_1.jpg?v=1678325680,round,53,male,black,square,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028918_1.jpg?v=1625028365,round,51,male,black,square,light,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028926_1.jpg?v=1625028385,round,53,male,gold,square,light,54,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,oblong,light,56,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL345001_1.jpg?v=1665630386,square,55,male,black,oblong,light,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1231OA001_1.jpg?v=1659427665,square,55,male,gold,oblong,light,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1230OA002_1.jpg?v=1659427659,square,53,male,black,oblong,light,54,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1213OA004_1.jpg?v=1659335673,square,55,female,black,oblong,light,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1209O002_1.jpg?v=1659335667,square,57,male,gold,oblong,light,58,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1192O004_1.jpg?v=1659427481,square,53,female,black,oblong,light,54,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1125OA002_1.jpg?v=1642644428,square,53,male,gold,oblong,light,54,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1124OA001_1.jpg?v=1642644418,square,55,male,black,oblong,light,56,
6.57E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0958O005_1.jpg?v=1620884597,square,52,female,black,oblong,light,53,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0396O002_1.jpg?v=1625035074,square,56,female,gold,oblong,light,57,
6.54E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027348_1.jpg?v=1614663567,square,58,male,gold,oblong,light,59,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927297_1.jpg?v=1603961455,aviator,55,female,black,oblong,light,56,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027322_1.jpg?v=1678325725,aviator,52,male,black,oblong,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027325_1.jpg?v=1678325757,aviator,57,male,gold,oblong,light,58,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028916_1_a4efa15d-1c75-443a-b770-92293d17a42f.jpg?v=1603956904,aviator,51,male,black,oblong,light,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028921_1.jpg?v=1603956933,aviator,53,male,black,oblong,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926567_1.jpg?v=1625028748,aviator,56,male,gold,oblong,light,57,
5.32E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/CBO1993051_1.jpg?v=1603959918,aviator,56,male,gold,oblong,light,57,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026670_1.jpg?v=1627360210,aviator,55,male,gold,oblong,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,heart,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1476OK001_1.jpg?v=1689328302,rectangle,55,female,black,heart,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL645F001_1.jpg?v=1692776167,rectangle,55,male,black,heart,light,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL186BSLIM001_1.jpg?v=1689328751,rectangle,53,male,black,heart,light,54,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1129OJ001_1.jpg?v=1642644445,rectangle,52,female,black,heart,light,53,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0934OA001_1.jpg?v=1625040669,rectangle,54,male,black,heart,light,55,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900848_1.jpg?v=1705277314,rectangle,54,female,black,heart,light,55,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1800833_1.jpg?v=1705277234,rectangle,52,female,gold,heart,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1402964_1.jpg?v=1705277193,rectangle,51,female,brown,heart,light,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/PU0064O001_1.jpg?v=1665630294,rectangle,54,male,blue,heart,light,55,
