id,image_src,shape,lens_width,gender,color,face_shape,skin,width,target
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026670_1.jpg?v=1627360210,aviator,55,male,gold,oblong,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,heart,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1476OK001_1.jpg?v=1689328302,rectangle,55,female,black,heart,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL645F001_1.jpg?v=1692776167,rectangle,55,male,black,heart,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL186BSLIM001_1.jpg?v=1689328751,rectangle,53,male,black,heart,dark,54,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG0566ON004_1.jpg?v=1693459054,rectangle,52,female,pink,heart,light,53,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1129OJ001_1.jpg?v=1642644445,rectangle,52,female,black,heart,dark,53,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0934OA001_1.jpg?v=1625040669,rectangle,54,male,black,heart,dark,55,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900849_1.jpg?v=1705277330,rectangle,53,female,pink,heart,light,54,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900848_1.jpg?v=1705277314,rectangle,54,female,black,heart,dark,55,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1800833_1.jpg?v=1705277234,rectangle,52,female,gold,heart,dark,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1402964_1.jpg?v=1705277193,rectangle,51,female,brown,heart,dark,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/PU0064O001_1.jpg?v=1665630294,rectangle,54,male,blue,heart,dark,55,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL259011_1.jpg?v=1693463723,cat-eye,50,female,black,heart,dark,51,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028903_1.jpg?v=1625028315,cat-eye,52,female,black,heart,dark,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926520_1.jpg?v=1625028667,cat-eye,52,female,black,heart,dark,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO1926615_1_9a43ecd1-cb4c-4af3-b9bb-d32eba384b83.jpg?v=1603958540,cat-eye,53,female,black,heart,dark,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026616_1.jpg?v=1625028872,cat-eye,51,female,black,heart,dark,52,
5.32E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/JHN1984794_1.jpg?v=1603967588,cat-eye,52,female,gold,heart,dark,53,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2026657_1.jpg?v=1603976817,cat-eye,54,female,green,heart,dark,55,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2100863_1.jpg?v=1627363005,cat-eye,54,female,brown,heart,dark,55,
6.71E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2230806_1.jpg?v=1640299042,cat-eye,52,female,black,heart,dark,53,
6.88E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2000843_1.jpg?v=1656041689,cat-eye,49,female,green,heart,dark,50,
7.01E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/CAP2330501_1.jpg?v=1689921269,cat-eye,52,female,green,heart,dark,53,
7.01E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/CAP2330502_1.jpg?v=1676354962,cat-eye,52,female,blue,heart,dark,53,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1442O002_1.jpg?v=1692776069,rectangle,55,male,gold,round,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG1476OK001_1.jpg?v=1689328302,rectangle,55,female,black,round,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL645F001_1.jpg?v=1692776167,rectangle,55,male,black,round,dark,56,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL186BSLIM001_1.jpg?v=1689328751,rectangle,53,male,black,round,dark,54,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG0566ON004_1.jpg?v=1693459054,rectangle,52,female,pink,round,light,53,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1129OJ001_1.jpg?v=1642644445,rectangle,52,female,black,round,dark,53,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0934OA001_1.jpg?v=1625040669,rectangle,54,male,black,round,dark,55,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900849_1.jpg?v=1705277330,rectangle,53,female,pink,round,light,54,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900848_1.jpg?v=1705277314,rectangle,54,female,black,round,dark,55,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1800833_1.jpg?v=1705277234,rectangle,52,female,gold,round,dark,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1402964_1.jpg?v=1705277193,rectangle,51,female,brown,round,dark,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/PU0064O001_1.jpg?v=1665630294,rectangle,54,male,blue,round,dark,55,
